,tfidf_score,ratio
0,3.415577689234585,0.2319
1,4.604844137527375,1.1782
2,2.362799089390908,0.7962
3,3.0852570231653567,0.0878
4,5.562651926277774,0.0975
5,4.317474119444333,0.3592
6,4.290542990780406,0.1620
7,4.313056646196939,0.0173
8,4.467431567894442,0.1491
9,4.292670739210676,0.0574
10,5.5954520216185895,1.5390
11,3.636968595711493,0.3163
12,5.270136865449098,1.2831
13,3.4420437729656923,2.1540
14,5.798634084289307,0.0848
15,5.841917695847114,0.0814
16,2.1916794929232983,0.0368
17,5.324889308035183,0.3232
18,5.341089529127729,0.1874
19,5.2221064601784954,0.1996
20,3.7184754568729668,0.1784
21,6.0871081436632455,0.2808
22,4.6336895256313335,0.1116
23,5.272620370184297,0.4523
24,5.520418846398605,0.2429
25,6.455985550410113,0.0727
26,3.7634901220366253,0.0531
27,2.7904115854670244,0.0566
28,5.430859577976063,0.4818
29,4.467872069179577,0.0126
30,5.123150342250941,0.7258
31,3.369758389510405,0.2381
32,5.7869957303857875,0.0716
33,5.973062451039799,0.1218
34,4.090920251747402,0.5990
35,4.770967081694821,0.6939
36,3.6369288992689572,0.2852
37,3.7572844615666687,0.4634
38,5.320762342503303,0.2085
39,4.232539007208384,0.0371
40,6.683910740803911,0.5540
41,5.477115367838013,0.0812
42,5.016549707386851,0.2156
43,5.868543825394437,0.1336
44,5.101463432773061,0.0169
45,6.018733737791919,0.0643
46,6.072620191305737,0.3743
47,4.509596053502048,0.0291
48,3.1190154774620837,0.1310
49,6.403732250781811,0.0738
50,4.357577935952455,0.0735
51,4.647192435373997,0.7696
52,5.191750895917277,0.0292
53,6.190390039779772,0.0171
54,4.815172841390989,0.2108
55,5.593445367842507,0.0262
56,6.1686779831806895,0.6390
57,4.953152677678943,0.5960
58,6.043608070390047,0.2521
59,5.702966886985308,0.5498
60,5.894447122673403,0.0133
61,5.657384098965592,0.0342
62,4.879274095734292,0.4924
63,4.893955176257487,0.4414
64,3.216849177688659,1.1959
65,5.732629946238472,0.1683
66,2.9404785399756976,0.0422
67,6.146157446464432,0.9549
68,5.1538819136825555,0.0063
69,4.241470215209462,0.0187
70,3.3081783669067266,0.0808
71,3.126959545214927,0.0330
72,4.498985918518652,0.2854
73,4.683275780260654,0.0515
74,4.267026591594707,0.2199
75,4.488340862623389,0.1757
76,2.2041653372070957,0.1139
77,4.189037708041039,0.0625
78,3.6147501082769034,0.0522
79,4.543092852371638,0.0895
80,3.2497217083686185,0.0211
81,2.4351318098992216,0.0575
82,3.979041301561306,0.0594
83,3.6425344624445857,0.1248
84,4.3887084224503266,0.0880
85,3.6663234121139934,0.0425
86,2.6311001531773583,0.0913
87,3.8906973838897163,0.0451
88,4.074098160909126,0.0819
89,4.509670510246816,0.0621
90,4.72215277133373,0.0641
91,2.810864012862715,0.0440
92,3.500943938527151,0.1441
93,3.5771586080191726,0.1658
94,3.9441245639513984,0.1486
95,3.0491299840424744,0.1548
96,4.367226357485128,0.8885
97,3.512733828907614,0.2107
98,2.255132664879386,0.0616
99,2.6107364598348126,0.2960
